,Country,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score,GDP,Generosity,Year
31,Uruguay,6.485,1.06166,0.2324,2015,6.545,1.18157,0.18056,2016,6.4539999961853,1.2175596952438401,0.175096929073334,2017,6.379,1.093,0.13,2018,6.292999999999999,1.124,0.127,2019,6.440100192999999,1.071000457,0.132143691,2020,6.431,1.1640000000000001,0.128,2021
32,Colombia,6.477,0.91861,0.18400999999999998,2015,6.481,1.0303200000000001,0.15625999999999998,2016,6.35699987411499,1.07062232494354,0.14901447296142598,2017,6.26,0.96,0.099,2018,6.125,0.985,0.099,2019,6.163400172999999,0.93220371,0.092374094,2020,6.0120000000000005,1.021,0.1,2021
33,Thailand,6.455,0.9669,0.5763,2015,6.474,1.0893,0.58696,2016,6.4239997863769505,1.12786877155304,0.572123110294342,2017,6.072,1.016,0.364,2018,6.007999999999999,1.05,0.359,2019,5.9987998010000005,1.007029295,0.376709014,2020,5.985,1.107,0.375,2021
34,Saudi Arabia,6.4110000000000005,1.39541,0.13706,2015,6.379,1.48953,0.15457,2016,6.343999862670901,1.53062355518341,0.147616013884544,2017,6.371,1.379,0.098,2018,6.375,1.403,0.08,2019,6.406499863,1.334328532,0.087440684,2020,6.494,1.435,0.09,2021
35,Spain,6.329,1.23011,0.18227000000000002,2015,6.361000000000001,1.34253,0.17665,2016,6.40299987792969,1.38439786434174,0.190133571624756,2017,6.31,1.251,0.142,2018,6.354,1.286,0.153,2019,6.4008998870000005,1.230535269,0.16530548,2020,6.4910000000000005,1.375,0.135,2021
36,Malta,6.3020000000000005,1.2074,0.51752,2015,6.4879999999999995,1.30782,0.56237,2016,6.52699995040894,1.34327983856201,0.5747305750846861,2017,6.627000000000001,1.27,0.376,2018,6.726,1.3,0.375,2019,6.772799968999999,1.2525132890000001,0.341180831,2020,6.602,1.411,0.275,2021
37,Taiwan,6.297999999999999,1.29098,0.25376,2015,6.379,1.39729,0.25495,2016,,,,,6.441,1.365,0.151,2018,6.446000000000001,1.368,0.242,2019,,,,,,,,
38,Kuwait,6.295,1.5542200000000002,0.16228,2015,6.239,1.61714,0.15965,2016,6.10500001907349,1.63295245170593,0.228289797902107,2017,6.082999999999999,1.474,0.16699999999999998,2018,6.021,1.5,0.142,2019,6.102099895,1.424833655,0.132751092,2020,6.106,1.4609999999999999,0.12,2021
39,Suriname,6.269,0.99534,0.16990999999999998,2015,6.269,1.09686,0.16665,2016,,,,,,,,,,,,,,,,,,,,
40,Trinidad and Tobago,6.167999999999999,1.21183,0.31844,2015,6.167999999999999,1.32572,0.31935,2016,6.1680002212524405,1.36135590076447,0.32529646158218395,2017,,,,,,,,,6.1918997760000005,1.167641521,0.199358255,2020,,,,
