,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
74,China,Eastern Asia,5.14,0.89012,0.08185,0.02781,5.245,1.0278,0.04959,0.02745,5.272999763,1.081165791,0.028806841,0.022794275,5.246,0.989,0.029,0.103,5.191,1.029,0.058,0.1,5.123899937,0.990533412,0.079021044,0.7539711,5.339,1.061,0.093,0.755
75,Zambia,Sub-Saharan Africa,5.129,0.47038,0.19591,0.12468,4.795,0.61202,0.17866,0.11479,4.513999939,0.636406779,0.249580145,0.07821355,4.377,0.562,0.221,0.082,4.107,0.578,0.247,0.087,3.759399891,0.536833763,0.250620902,0.801289678,4.073,0.528,0.227,0.823
76,Romania,Central and Eastern Europe,5.124,1.04345,0.13748,0.00649,5.528,1.1697,0.12889,0.00679,5.824999809,1.217683911,0.133519918,0.004387901,5.945,1.116,0.088,0.001,6.07,1.162,0.083,0.005,6.123700142,1.120401621,0.068181619,0.934300244,6.14,1.275,0.045,0.938
77,Serbia,Central and Eastern Europe,5.123,0.92053,0.19231,0.02617,5.177,1.03437,0.20737,0.04339,5.394999981,1.069317579,0.220125884,0.040903781,5.398,0.975,0.134,0.043,5.603,1.004,0.137,0.039,5.77820015,0.988181829,0.15028289,0.843509018,6.078,1.101,0.189,0.835
78,Portugal,Western Europe,5.102,1.15991,0.13719,0.01078,5.123,1.27607,0.11691,0.01521,5.195000172,1.315175295,0.095102713,0.015869452,5.41,1.188,0.055,0.017,5.693,1.221,0.047,0.025,5.910900116,1.168800831,0.053036947,0.892629504,5.929,1.323,0.029,0.887
79,Latvia,Central and Eastern Europe,5.098,1.11312,0.18226,0.06332,5.56,1.21788,0.17445,0.0889,5.849999905,1.260748625,0.153074786,0.073842727,5.933,1.148,0.092,0.066,5.94,1.187,0.075,0.064,5.949999809,1.14139545,0.075407945,0.795580089,6.032,1.285,0.082,0.8
80,Philippines,Southeastern Asia,5.073,0.70532,0.24991,0.12279,5.279,0.81217,0.21674,0.11757,5.429999828,0.857699215,0.193513423,0.099331893,5.524,0.775,0.12,0.105,5.631,0.807,0.117,0.107,6.006000042,0.775120676,0.129260212,0.733634114,5.88,0.853,0.125,0.742
81,Morocco,Middle East and Northern Africa,5.013,0.73479,0.07172,0.08546,5.151,0.84058,0.04053,0.08404,5.235000134,0.878114581,0.032209955,0.087763183,5.254,0.779,0.026,0.074,5.208,0.801,0.036,0.076,5.094799995,0.75862211,0.040032551,0.815724611,4.918,0.792,0.034,0.801
82,Albania,Central and Eastern Europe,4.959,0.87867,0.14272,0.06413,4.655,0.9553,0.1684,0.05301,4.644000053,0.996192753,0.201312944,0.039864216,4.586,0.916,0.149,0.032,4.719,0.947,0.178,0.027,4.882699966,0.906653047,0.171027765,0.896303713,5.117,1.008,0.168,0.901
83,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.24808,0.00227,5.163,0.93383,0.29889,0,5.18200016,0.982409418,0.328867495,0,5.129,0.915,0.216,0,5.386,0.945,0.263,0.006,5.674099922,0.91839546,0.264005244,0.933769107,5.813,1.032,0.261,0.931
